osm_id,name,category,subcategory,latitude,longitude,source,collection_date
node/10855740757,Punjab National Bank,amenity,atm,27.5427592,77.6440973,OpenStreetMap,2026-09-10
node/10855740758,Indian Oil,amenity,fuel,27.5465129,77.6405577,OpenStreetMap,2026-09-10
node/10855740759,Unnamed,amenity,restaurant,27.5460656,77.6411525,OpenStreetMap,2026-09-10
node/10855740760,Prakash Family Dhaba,amenity,restaurant,27.5549822,77.633117,OpenStreetMap,2026-09-10
node/10855740761,Indian Oil,amenity,fuel,27.5692407,77.6208091,OpenStreetMap,2026-09-10
node/10855741424,B.S. Laxmi,amenity,restaurant,27.3158292,77.7698302,OpenStreetMap,2026-09-10
node/10855741425,Unnamed,amenity,restaurant,27.315223,77.7715759,OpenStreetMap,2026-09-10
node/10855741426,Unnamed,amenity,restaurant,27.311876,77.7761372,OpenStreetMap,2026-09-10
node/10855741435,Unnamed,amenity,restaurant,27.2987214,77.7881001,OpenStreetMap,2026-09-10
node/10855741445,Unnamed,shop,motorcycle,27.3174123,77.7657769,OpenStreetMap,2026-09-10
node/10855741446,BP,amenity,fuel,27.2841938,77.7971166,OpenStreetMap,2026-09-10
node/10855741447,Unnamed,amenity,restaurant,27.2887367,77.7936502,OpenStreetMap,2026-09-10
node/10855741448,Unnamed,amenity,restaurant,27.291963,77.7913842,OpenStreetMap,2026-09-10
node/10855741449,Sachdeva Institute of Technology,amenity,college,27.2924983,77.7928455,OpenStreetMap,2026-09-10
node/10855741450,Hindustan College of Science & Technology,amenity,college,27.2970272,77.7871102,OpenStreetMap,2026-09-10
node/10855741451,KCL Academy,amenity,college,27.2950676,77.7877597,OpenStreetMap,2026-09-10
node/10855759594,Indian Oil,amenity,fuel,27.4976261,77.6529283,OpenStreetMap,2026-09-10
node/10855775508,Bharat Petroleum,amenity,fuel,27.4682736,77.6601952,OpenStreetMap,2026-09-10
node/10855775509,Suzuki,shop,motorcycle,27.4695635,77.6598732,OpenStreetMap,2026-09-10
node/10855775805,Aashlar Business School,amenity,college,27.3357986,77.7380168,OpenStreetMap,2026-09-10
node/10855775806,Unnamed,amenity,restaurant,27.341107,77.7335637,OpenStreetMap,2026-09-10
node/10855775807,Unnamed,amenity,restaurant,27.3428551,77.7319046,OpenStreetMap,2026-09-10
node/10855775808,Apni Maa Ki Rasoi,amenity,restaurant,27.3433017,77.7314233,OpenStreetMap,2026-09-10
node/10855775809,Unnamed,amenity,restaurant,27.3466383,77.7292112,OpenStreetMap,2026-09-10
node/10855775810,Unnamed,amenity,restaurant,27.3498412,77.7261318,OpenStreetMap,2026-09-10
node/10855775812,Indian Oil,amenity,fuel,27.3504701,77.7253438,OpenStreetMap,2026-09-10
node/10855775813,Maa Ki Rasoi,amenity,restaurant,27.3506733,77.7240584,OpenStreetMap,2026-09-10
node/10855775814,G P Palace,amenity,restaurant,27.3512022,77.7236517,OpenStreetMap,2026-09-10
node/10855775815,Baluni 5 Days Boarding School,amenity,school,27.327145,77.744226,OpenStreetMap,2026-09-10
node/10855775816,Unnamed,amenity,restaurant,27.3536178,77.7220577,OpenStreetMap,2026-09-10
node/10855775817,ABS Senior Second School,amenity,school,27.3543145,77.723049,OpenStreetMap,2026-09-10
node/10855775818,Unnamed,amenity,restaurant,27.3557657,77.721553,OpenStreetMap,2026-09-10
node/10855775819,Unnamed,amenity,restaurant,27.3578749,77.7202421,OpenStreetMap,2026-09-10
node/10855775820,Unnamed,amenity,restaurant,27.3580523,77.7200969,OpenStreetMap,2026-09-10
node/10855775821,BP,amenity,fuel,27.3605065,77.7184847,OpenStreetMap,2026-09-10
node/10855775822,Unnamed,amenity,restaurant,27.3614288,77.7174534,OpenStreetMap,2026-09-10
node/10855775823,Unnamed,amenity,restaurant,27.3618093,77.7169632,OpenStreetMap,2026-09-10
node/10855775824,Radhika Dhaba,amenity,restaurant,27.3620254,77.7161063,OpenStreetMap,2026-09-10
node/10855775825,HP,amenity,fuel,27.3684393,77.7060079,OpenStreetMap,2026-09-10
